"Peak.ID","Chr","Start","End","Strand","Peak.Caller.Combination","Peak.Caller.Overlaps","ChIP.Tag.Count","Control.Tag.Count","Fold.Change","Peak.Center","Number.of.Motifs","negLog10_IDR","IDR","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Nearest.Refseq","Nearest.Ensembl","Gene.Name","Gene.Alias","Gene.Description","Gene.Type","negLog10_IDR_MACS2_vs_union","negLog10_IDR_GEM_vs_union","negLog10_IDR_HOMER_vs_union","negLog10_IDR_Genrich_vs_union","negLog10_IDR_SEACR_vs_union","negLog10_IDR_SICER2_vs_union","annot_class","details","SYMBOL"
"chr1:110975050-110978050","chr1",110975050,110978050,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,16,0,16,110977022,0,21.752849,0,"intron ","intron (NM_001356415, intron 1 of 12)",1043,"NM_001081386",227485,NA,"NM_001081386","ENSMUSG00000047216","Cdh19","-","cadherin 19, type 2","protein-coding",5,2.165515,4.261779,5,3.717733,1.607822,"Promoter",NA,"Cdh19"
"chr1:111864150-111865308","chr1",111864150,111865308,".","MACS2|GEM|HOMER|Genrich|SICER2",5,6,0,6,111864774,0,5.114571,7.68e-06,"5' UTR ","5' UTR (NM_001081316, exon 1 of 2)",189,"NM_001081316",319901,NA,"NM_001081316","ENSMUSG00000038702","Dsel","9330132E09Rik|DS-epi2","dermatan sulfate epimerase-like","protein-coding",0.88809,1.131307,0.83141,1.153795,0.03248,1.077489,"Promoter",NA,"Dsel"
"chr1:118309800-118311850","chr1",118309800,118311850,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,14,3,4.67,118311137,0,3.737906,0.00018285,"promoter-TSS ","promoter-TSS (NR_153836)",-97,"NR_153836",22099,NA,"NM_011650","ENSMUSG00000026374","Tsn","2610034C24Rik|C3PO|TB-RBP","translin","protein-coding",0.9084,0.529727,0.280172,0.608972,0.36854,1.042095,"Promoter",NA,"Tsn"
"chr1:118387900-118391599","chr1",118387900,118391599,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,49,1,49,118389644,0,23.639649,0,"intron ","intron (NM_001359347, intron 1 of 40)",691,"NM_029709",76707,NA,"NM_029709","ENSMUSG00000064302","Clasp1","1700030C23Rik|5730583A19Rik|B130045P17Rik|CLASP1alpha","CLIP associating protein 1","protein-coding",5,2.048262,5,5,5,1.591387,"Promoter",NA,"Clasp1"
"chr1:118481300-118482899","chr1",118481300,118482899,".","MACS2|GEM|HOMER|Genrich|SICER2",5,12,0,12,118482384,0,14.035253,0,"intron ","intron (NM_001359347, intron 8 of 40)",-22834,"NR_027901",68204,NA,"NR_027901","ENSMUSG00000107722","2900060B14Rik","-","RIKEN cDNA 2900060B14 gene","ncRNA",3.741373,2.114697,2.849094,3.408747,0.068563,1.852779,"Promoter",NA,"Clasp1"
"chr1:118627858-118629618","chr1",118627858,118629618,".","MACS2|GEM|HOMER|Genrich|SICER2",5,9,0,9,118628452,0,13.229406,0,"intron ","intron (NM_023755, intron 1 of 14)",793,"NM_023755",81879,NA,"NM_023755","ENSMUSG00000026380","Tfcp2l1","1810030F05Rik|4932442M07Rik|Cp2l1|Crtr-1|D930018N21Rik|LBP-9|Tcfcp2l1","transcription factor CP2-like 1","protein-coding",3.404178,1.85728,2.48951,3.204402,0.351734,1.922302,"Promoter",NA,"Tfcp2l1"
"chr1:119049550-119054773","chr1",119049550,119054773,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,57,0,57,119052585,0,23.700496,0,"intron ","intron (NM_001081125, intron 1 of 13)",1458,"NM_001081125",14633,NA,"NM_001081125","ENSMUSG00000048402","Gli2","-","GLI-Kruppel family member GLI2","protein-coding",5,2.056109,5,5,5,1.644387,"Promoter",NA,"Gli2"
"chr1:119418164-119423799","chr1",119418164,119423799,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,28,0,28,119420776,0,23.84294,0,"exon ","exon (NM_008381, exon 1 of 2)",1267,"NM_008381",16324,NA,"NM_008381","ENSMUSG00000037035","Inhbb","-","inhibin beta-B","protein-coding",5,1.731828,5,5,5,2.111112,"Promoter",NA,"Inhbb"
"chr1:119503050-119505134","chr1",119503050,119505134,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,25,0,25,119504317,0,22.161897,0,"intron ","intron (NM_022327, intron 1 of 4)",690,"NM_022327",64143,NA,"NM_022327","ENSMUSG00000004451","Ralb","5730472O18Rik","v-ral simian leukemia viral oncogene B","protein-coding",5,1.726844,4.81334,5,4.13734,1.484373,"Promoter",NA,"Ralb"
"chr1:119524850-119526929","chr1",119524850,119526929,".","MACS2|GEM|HOMER|Genrich|SICER2",5,16,0,16,119525885,0,16.771136,0,"promoter-TSS ","promoter-TSS (NM_146103)",-265,"NM_146103",226351,NA,"NM_146103","ENSMUSG00000098923","Tmem185b","2500001K11Rik","transmembrane protein 185B","protein-coding",4.848712,1.667214,3.631352,4.05405,1.06906,1.500748,"Promoter",NA,"Tmem185b"
"chr1:119647360-119649430","chr1",119647360,119649430,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,32,0,32,119648453,0,23.264325,0,"intron ","CpG",605,"NM_001113416",226352,NA,"NM_145506","ENSMUSG00000026383","Epb41l5","1700030C16Rik|BE37|E230025E14Rik|Epb4.1l5|Lulu1|NBL5","erythrocyte membrane protein band 4.1 like 5","protein-coding",5,2.057036,5,5,4.574596,1.632693,"Promoter",NA,"Epb41l5"
"chr1:119833850-119838000","chr1",119833850,119838000,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,73,0,73,119836570,0,23.88895,0,"intron ","intron (NM_019933, intron 1 of 26)",1146,"NM_019933",19258,NA,"NM_019933","ENSMUSG00000026384","Ptpn4","PTPMEG|Ptn4|TEP|TEP/mPTPMEG|hPTP-MEG","protein tyrosine phosphatase, non-receptor type 4","protein-coding",5,2.006307,5,5,5,1.882643,"Promoter",NA,"Ptpn4"
"chr1:120115340-120122249","chr1",120115340,120122249,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,48,2,24,120120188,0,23.462349,0,"intron ","MER3|DNA|hAT-Charlie",2125,"NM_001037999",13167,NA,"NM_007830","ENSMUSG00000026385","Dbi","ACBD1|Acbp|EP|endozepine","diazepam binding inhibitor","protein-coding",5,2.014004,5,5,4.856501,1.591844,"Promoter",NA,"Dbi"
"chr1:120264310-120266003","chr1",120264310,120266003,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,7,0,7,120265023,0,10.354171,0,"intron ","intron (NM_001379354, intron 1 of 4)",130,"NM_133186",68428,NA,"NM_133186","ENSMUSG00000026389","Steap3","1010001D01Rik|Tsap6|pHyde","STEAP family member 3","protein-coding",1.949075,1.440243,1.954356,2.347402,1.333912,1.329183,"Promoter",NA,"Steap3"
"chr1:121086680-121089499","chr1",121086680,121089499,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,52,0,52,121087894,0,23.805144,0,"intron ","intron (NR_110450, intron 1 of 2)",684,"NR_038008",98452,NA,"NR_038008","ENSMUSG00000097881","Celrr","B230209K01Rik|Celr|Gm818","cerebellum expressed regulatory RNA","ncRNA",5,2.1569,5,5,5,1.648244,"Promoter",NA,"Celrr"
"chr1:121326296-121328825","chr1",121326296,121328825,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,41,0,41,121327560,0,24.204944,0,"5' UTR ","5' UTR (NM_001271531, exon 1 of 6)",118,"NM_001271531",72999,NA,"NM_133748","ENSMUSG00000003721","Insig2","2900053I11Rik|C730043J18Rik|Insig-2","insulin induced gene 2","protein-coding",5,2.185767,5,5,4.994438,2.024739,"Promoter",NA,"Insig2"
"chr1:121430757-121432349","chr1",121430757,121432349,".","MACS2|GEM|HOMER|Genrich|SICER2",5,5,2,2.5,121431367,0,1.264999,0.05432516,"intron ","intron (NM_001025156, intron 1 of 23)",486,"NM_001025156",70829,NA,"NM_027567","ENSMUSG00000026339","Ccdc93","4633402D15Rik|9230102M16Rik","coiled-coil domain containing 93","protein-coding",0.164634,0.168805,0.08359,0.122205,0.03248,0.693285,"Promoter",NA,"Ccdc93"
"chr1:121567050-121568088","chr1",121567050,121568088,".","MACS2|GEM|HOMER|Genrich|SICER2",5,18,0,18,121567455,0,15.895895,0,"intron ","intron (NM_025860, intron 1 of 12)",411,"NM_025860",66942,NA,"NM_025860","ENSMUSG00000001674","Ddx18","2310005B10Rik","DEAD box helicase 18","protein-coding",4.767484,2.317887,3.368899,3.826682,0.03248,1.582463,"Promoter",NA,"Ddx18"
"chr1:125433100-125436599","chr1",125433100,125436599,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,62,0,62,125435135,0,23.548048,0,"intron ","intron (NM_001205385, intron 2 of 12)",878,"NM_001205385",74117,NA,"NM_023735","ENSMUSG00000026341","Actr3","1200003A09Rik|Arp3","ARP3 actin-related protein 3","protein-coding",5,1.900856,5,5,5,1.647192,"Promoter",NA,"Actr3"
"chr1:125560030-125562099","chr1",125560030,125562099,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,14,2,7,125560893,0,10.764293,0,"promoter-TSS ","promoter-TSS (NM_028787)",62,"NM_028787",74150,NA,"NM_028787","ENSMUSG00000026342","Slc35f5","1300003P13Rik","solute carrier family 35, member F5","protein-coding",2.361988,1.652519,1.617516,2.471059,1.322994,1.338217,"Promoter",NA,"Slc35f5"
"chr1:126735950-126738999","chr1",126735950,126738999,".","MACS2|GEM|HOMER|Genrich|SICER2",5,8,1,8,126737686,0,10.54771,0,"intron ","intron (NM_176957, intron 1 of 12)",93158,"NM_176957",210356,NA,"NM_172484","ENSMUSG00000049690","Nckap5","8430408F21|D130011D22Rik|E030049G20Rik|Erih1|Erih2|Gm1548|Nap5","NCK-associated protein 5","protein-coding",2.531574,1.413128,2.338653,2.919182,0.11476,1.230413,"Promoter",NA,"Nckap5"
"chr1:126828222-126831630","chr1",126828222,126831630,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,24,0,24,126830236,0,23.51795,0,"intron ","intron (NM_176957, intron 1 of 12)",706,"NM_176957",210356,NA,"NM_172484","ENSMUSG00000049690","Nckap5","8430408F21|D130011D22Rik|E030049G20Rik|Erih1|Erih2|Gm1548|Nap5","NCK-associated protein 5","protein-coding",5,2.367414,5,5,4.434511,1.716025,"Promoter",NA,"Nckap5"
"chr1:127204184-127209782","chr1",127204184,127209782,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,74,0,74,127205846,0,24.457622,0,"intron ","intron (NM_145128, intron 1 of 17)",1997,"NM_145128",107895,NA,"NM_145128","ENSMUSG00000036155","Mgat5","4930471A21Rik|5330407H02Rik|GlcNAc-TV","mannoside acetylglucosaminyltransferase 5","protein-coding",5,2.254911,5,5,5,2.202711,"Promoter",NA,"Mgat5"
"chr1:127675750-127678099","chr1",127675750,127678099,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,3,0,3,127676810,0,1.584578,0.02602687,"intron ","intron (NM_028135, intron 1 of 7)",1097,"NM_028135",72160,NA,"NM_028135","ENSMUSG00000026347","Tmem163","2610024A01Rik|A-cre|Act-Cre|SV31|Tg(ACTB-cre)2Mrt|actin-cre|cre<actin>","transmembrane protein 163","protein-coding",0.281592,0.200036,0.090977,0.127934,0.082551,0.801488,"Promoter",NA,"Tmem163"
"chr1:127772850-127777699","chr1",127772850,127777699,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,81,0,81,127774443,0,23.955825,0,"intron ","intron (NM_028399, intron 2 of 8)",1110,"NM_028399",72949,NA,"NM_028399","ENSMUSG00000026349","Ccnt2","2900041I18Rik|CycT2|CycT2a|CycT2b","cyclin T2","protein-coding",5,1.958683,5,5,5,1.997142,"Promoter",NA,"2900009J06Rik"
"chr1:127853453-127855699","chr1",127853453,127855699,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,28,1,28,127854747,0,21.574578,0,"intron ","intron (NM_011737, intron 1 of 13)",450,"NM_011737",22625,NA,"NM_011737","ENSMUSG00000051590","Map3k19","Ysk4","mitogen-activated protein kinase kinase kinase 19","protein-coding",5,2.055605,4.442138,4.887236,3.752047,1.437552,"Promoter",NA,"Map3k19"
"chr1:127868319-127870318","chr1",127868319,127870318,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,17,0,17,127869054,0,20.157501,0,"intron ","intron (NM_178690, intron 2 of 23)",545,"NM_178690",226407,NA,"NM_178690","ENSMUSG00000036104","Rab3gap1","1700003B17Rik|4732493F09Rik|Rab3gap|p130|rab3-GAP p130","RAB3 GTPase activating protein subunit 1","protein-coding",5,1.886443,3.993061,4.279556,2.967197,2.031244,"Promoter",NA,"Rab3gap1"
"chr1:128101700-128105999","chr1",128101700,128105999,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,32,0,32,128103322,0,23.390858,0,"promoter-TSS ","promoter-TSS (NM_001285945)",543,"NM_181750",226412,NA,"NM_181750","ENSMUSG00000056211","R3hdm1","R3hdm","R3H domain containing 1","protein-coding",5,1.870275,5,5,5,1.520583,"Promoter",NA,"Zranb3"
"chr1:128243200-128245660","chr1",128243200,128245660,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,31,2,15.5,128244519,0,20.710631,0,"5' UTR ","5' UTR (NM_026390, exon 1 of 13)",293,"NM_026390",67812,NA,"NM_026390","ENSMUSG00000026353","Ubxn4","1300013G12Rik|Ubxd2|mKIAA0242","UBX domain protein 4","protein-coding",5,1.705426,4.289086,4.643254,3.60082,1.472045,"Promoter",NA,"Ubxn4"
"chr1:128415600-128417991","chr1",128415600,128417991,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,30,0,30,128416924,0,22.51546,0,"intron ","intron (NM_145507, intron 1 of 3)",621,"NM_177445",226414,NA,"NM_145507","ENSMUSG00000026356","Dars1","5730439G15Rik|Dars","aspartyl-tRNA synthetase 1","protein-coding",5,1.729173,4.770074,4.955467,4.045642,2.015104,"Promoter",NA,"Dars1"
"chr1:128590550-128593899","chr1",128590550,128593899,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,26,0,26,128591913,0,22.716661,0,"promoter-TSS ","promoter-TSS (NM_009911)",75,"NM_001356509",12767,NA,"NM_009911","ENSMUSG00000045382","Cxcr4","CD184|CXC-R4|CXCR-4|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo","C-X-C motif chemokine receptor 4","protein-coding",5,1.955654,4.776826,5,4.045166,1.939015,"Promoter",NA,"Cxcr4"
"chr1:130714550-130720122","chr1",130714550,130720122,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,98,1,98,130717040,0,24.133797,0,"promoter-TSS ","promoter-TSS (NM_178691)",9,"NM_178691",226418,NA,"NM_178691","ENSMUSG00000046404","Yod1","6330564D18Rik|9930028C20Rik|Hshin7","YOD1 deubiquitinase","protein-coding",5,1.928612,5,5,5,2.205185,"Promoter",NA,"Pfkfb2"
"chr1:131095553-131098316","chr1",131095553,131098316,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,32,1,32,131097130,0,23.359585,0,"intron ","CpG",909,"NM_008551",17164,NA,"NM_008551","ENSMUSG00000016528","Mapkapk2","MAPKAP-K2|MK-2|MK2|Rps6kc1","MAP kinase-activated protein kinase 2","protein-coding",5,1.733727,5,5,5,1.625858,"Promoter",NA,"Mapkapk2"
"chr1:131136468-131138934","chr1",131136468,131138934,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,30,0,30,131137898,0,21.77832,0,"intron ","intron (NM_145508, intron 1 of 2)",533,"NM_145508",226419,NA,"NM_145508","ENSMUSG00000016526","Dyrk3","-","dual-specificity tyrosine phosphorylation regulated kinase 3","protein-coding",5,1.903775,4.513284,5,3.742439,1.618822,"Promoter",NA,"Dyrk3"
"chr1:131522900-131529048","chr1",131522900,131529048,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,92,0,92,131526499,0,23.541374,0,"intron ","CpG",1387,"NM_001081011",14270,NA,"NM_019520","ENSMUSG00000026425","Srgap2","9930124L22Rik|FBP2|Fnbp2|srGAP3","SLIT-ROBO Rho GTPase activating protein 2","protein-coding",5,1.930199,5,5,5,1.611175,"Promoter",NA,"Srgap2"
"chr1:131826297-131832780","chr1",131826297,131832780,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,66,1,66,131828682,0,24.392671,0,"intron ","intron (NM_173865, intron 1 of 10)",1526,"NM_173865",98396,NA,"NM_173865","ENSMUSG00000013275","Slc41a1","B230315F01Rik","solute carrier family 41, member 1","protein-coding",5,2.509759,5,5,5,1.882912,"Promoter",NA,"Slc41a1"
"chr1:131866927-131868414","chr1",131866927,131868414,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,14,2,7,131867592,0,11.624486,0,"exon ","exon (NM_144875, exon 2 of 6)",393,"NM_144875",226422,NA,"NM_144875","ENSMUSG00000026433","Rab29","Rab7l1","RAB29, member RAS oncogene family","protein-coding",3.275495,1.580236,1.354472,2.564727,1.342273,1.507283,"Promoter",NA,"Rab29"
"chr1:131909790-131912449","chr1",131909790,131912449,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,42,1,42,131910870,0,23.665373,0,"intron ","CpG",661,"NM_175294",98415,NA,"NM_175294","ENSMUSG00000026434","Nucks1","2700010L10Rik|8430423A01Rik|Nucks","nuclear casein kinase and cyclin-dependent kinase substrate 1","protein-coding",5,2.008566,5,5,5,1.656807,"Promoter",NA,"Nucks1"
"chr1:131962300-131964999","chr1",131962300,131964999,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,9,0,9,131963588,0,15.504929,0,"intron ","intron (NM_001177628, intron 1 of 4)",734,"NM_001177628",212980,NA,"NM_145977","ENSMUSG00000026435","Slc45a3","2210413P12Rik|IPCA-6|PRST|Pcanap6","solute carrier family 45, member 3","protein-coding",3.481055,1.923129,2.571339,3.486295,2.260373,1.782738,"Promoter",NA,"Slc45a3"
"chr1:132006800-132009999","chr1",132006800,132009999,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,58,0,58,132008079,0,23.78289,0,"promoter-TSS ","promoter-TSS (NM_001376956)",54,"NM_001376955",13714,NA,"NM_007923","ENSMUSG00000026436","Elk4","2310011G17Rik|A130026I01Rik|SAP-1|Sap1","ELK4, member of ETS oncogene family","protein-coding",5,2.112511,5,5,5,1.670379,"Promoter",NA,"Elk4"
"chr1:132137348-132139949","chr1",132137348,132139949,".","MACS2|HOMER|Genrich|SEACR|SICER2",5,13,0,13,132138678,0,16.596645,0,"intron ","intron (NM_008795, intron 1 of 15)",1037,"NM_008795",18557,NA,"NM_008795","ENSMUSG00000026437","Cdk18","Ctk18|Pctk3","cyclin dependent kinase 18","protein-coding",4.017846,0.45738,3.150182,4.45628,2.976825,1.538132,"Promoter",NA,"Cdk18"
"chr1:132387600-132392449","chr1",132387600,132392449,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,18,2,9,132390609,0,16.787746,0,"5' UTR ","5' UTR (NM_001311107, exon 1 of 5)",294,"NM_001311107",68875,NA,"NM_178874","ENSMUSG00000042066","Tmcc2","1110063G11Rik","transmembrane and coiled-coil domains 2","protein-coding",4.443916,1.74342,2.522652,4.239779,2.375108,1.462871,"Promoter",NA,"Tmcc2"
"chr1:132416839-132420399","chr1",132416839,132420399,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,38,0,38,132418007,0,23.424784,0,"intron ","intron (NM_172516, intron 1 of 12)",1166,"NM_172516",213452,NA,"NM_172516","ENSMUSG00000042046","Dstyk","A930019K20Rik|C430014H23Rik|C820013G01|Ripk5","dual serine/threonine and tyrosine protein kinase","protein-coding",5,1.891714,5,5,5,1.53307,"Promoter",NA,"Dstyk"
"chr1:132476250-132479249","chr1",132476250,132479249,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,27,1,27,132477459,0,23.429218,0,"promoter-TSS ","promoter-TSS (NR_165177)",382,"NM_001357486",213464,NA,"NM_172517","ENSMUSG00000026439","Rbbp5","4933411J24Rik|C330016J05","retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit","protein-coding",5,2.396035,5,5,4.33095,1.702233,"Promoter",NA,"Rbbp5"
"chr1:132540358-132543383","chr1",132540358,132543383,".","MACS2|GEM|Genrich|SEACR|SICER2",5,2,0,2,132542071,0,0.974252,0.10610797,"intron ","intron (NM_177129, intron 1 of 22)",1070,"NM_177129",21367,NA,"NM_011531","ENSMUSG00000053024","Cntn2","D130012K04Rik|TAG-1|TAG1|Tax","contactin 2","protein-coding",0.14419,0.102292,0.078138,0.107443,0.070056,0.472133,"Promoter",NA,"Cntn2"
"chr1:132737350-132742220","chr1",132737350,132742220,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,23,0,23,132740778,0,23.047832,0,"intron ","(TC)n|Simple_repeat|Simple_repeat",2012,"NM_001160317",269116,NA,"NM_182716","ENSMUSG00000026442","Nfasc","D430023G06Rik|NF|mKIAA0756","neurofascin","protein-coding",4.903647,1.917635,4.779188,5,4.407831,2.039531,"Promoter",NA,"Nfasc"
"chr1:132879800-132882360","chr1",132879800,132882360,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,33,0,33,132880950,0,23.682964,0,"intron ","intron (NM_010732, intron 1 of 1)",725,"NM_010732",16980,NA,"NM_010732","ENSMUSG00000026443","Lrrn2","5730406J09Rik|NLRR-2","leucine rich repeat protein 2, neuronal","protein-coding",5,2.165116,5,5,4.891101,1.626747,"Promoter",NA,"Lrrn2"
"chr1:133024078-133026511","chr1",133024078,133026511,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,47,1,47,133025284,0,23.654352,0,"non-coding ","non-coding (NR_126506, exon 1 of 10)",122,"NM_008575",17248,NA,"NM_008575","ENSMUSG00000054387","Mdm4","4933417N07Rik|Mdmx","transformed mouse 3T3 cell double minute 4","protein-coding",5,2.114279,5,5,4.802505,1.737568,"Promoter",NA,"Mdm4"
